Post ID,Platform,Post Date,Post Type,Content Theme,Caption,Hashtags Used,Impressions,Reach,Likes,Comments,Shares,Saves,Profile Visits,Link Clicks,Engagement Rate %,Follower Growth,Sentiment Score,AI Content Score,Best Posting Time,Campaign Name
POST060,Facebook,2024-10-26,Text Post,Motivational,This is why your hashtags aren't working,#AIMarketing #DataDriven #Analytics,51441,40984,3093,115,347,242,3872,102,9.26,312,0.85,7.0,12:00 PM,Organic Growth Sprint
POST061,Facebook,2024-02-29,Text Post,Industry News,Your questions answered: social media analytics edition,#InfluencerMarketing #ROI #CampaignStrategy,19820,11170,126,14,17,6,209,240,1.46,270,0.22,6.4,5:00 PM,Retargeting Campaign
POST062,Instagram,2024-05-23,Story,Industry News,Meet the team behind the content strategy 👋,#DigitalMarketing #SocialMedia #ContentStrategy,5788,4382,272,61,30,18,381,50,8.69,183,0.56,9.7,1:00 PM,Lead Gen Campaign
POST063,LinkedIn,2024-02-16,Reel,Event Highlight,Your questions answered: social media analytics edition,#AIMarketing #DataDriven #Analytics,88370,54226,399,11,52,45,2005,515,0.93,284,0.27,8.7,7:00 PM,Summer Engagement Drive
POST064,Facebook,2024-05-21,Image,Educational,Save this post if you're a content creator!,#MarketingAnalytics #ContentMarketing #Viral,20464,17317,2262,261,91,59,115,269,15.44,2,0.4,8.5,8:00 AM,Festive Season Campaign
POST065,Facebook,2024-08-03,Reel,Behind the Scenes,This is why your hashtags aren't working,#DigitalMarketing #SocialMedia #ContentStrategy,70455,41152,570,126,59,102,2975,2102,2.08,298,0.19,6.7,9:00 AM,Organic Growth Sprint
POST066,Instagram,2024-07-24,Reel,Event Highlight,This is why your hashtags aren't working,#MarketingAnalytics #ContentMarketing #Viral,57372,43363,4066,734,456,78,671,1319,12.3,306,0.23,4.3,1:00 PM,Lead Gen Campaign
POST067,Twitter/X,2024-02-20,Video,Industry News,Behind the scenes of our latest campaign shoot,#MarketingAnalytics #ContentMarketing #Viral,93483,54624,9083,885,882,927,1881,1694,21.56,168,0.8,6.0,1:00 PM,Community Building
POST068,Facebook,2024-12-17,Carousel,Behind the Scenes,Your questions answered: social media analytics edition,#MarketingAnalytics #ContentMarketing #Viral,63663,36296,749,28,57,27,3062,532,2.37,279,0.15,9.5,12:00 PM,Retargeting Campaign
POST069,Facebook,2024-01-27,Text Post,Industry News,Your questions answered: social media analytics edition,#MarketingAnalytics #ContentMarketing #Viral,39200,28620,2930,111,297,522,881,316,13.49,241,0.29,4.2,12:00 PM,Lead Gen Campaign
POST070,LinkedIn,2024-11-07,Story,Educational,Save this post if you're a content creator!,#InfluencerMarketing #ROI #CampaignStrategy,87723,70076,4431,64,186,282,5072,2783,7.08,174,0.11,9.0,12:00 PM,Festive Season Campaign
POST071,Instagram,2024-07-11,Reel,User Generated Content,We just hit 10K followers! Thank you for the love 🎉,#SocialMediaMarketing #GrowthHacking #Branding,56528,38783,1339,194,81,169,705,215,4.6,74,0.23,7.4,10:00 AM,Retargeting Campaign
POST072,Twitter/X,2024-07-31,Video,Event Highlight,Here's why your content isn't performing (and how to fix it),#AIMarketing #DataDriven #Analytics,37304,22929,2148,121,178,223,464,580,11.64,298,0.51,7.7,1:00 PM,Brand Awareness Q1
POST073,Instagram,2024-04-18,Image,Motivational,Real talk: what consistent posting did for our brand in 6 months,#MarketingAnalytics #ContentMarketing #Viral,19487,15185,1235,172,32,4,1028,764,9.5,215,0.25,5.9,12:00 PM,Retargeting Campaign
POST074,Instagram,2024-08-23,Story,Educational,Our new product launch is HERE – swipe to see the magic ✨,#StartupMarketing #B2BMarketing #LeadGeneration,11705,9465,1229,224,148,106,865,296,18.03,53,0.44,9.6,6:00 PM,Product Launch Wave 1
POST075,Twitter/X,2024-08-11,Reel,User Generated Content,We tried posting 3x a day for 30 days. Here's what happened.,#AIMarketing #DataDriven #Analytics,78684,52728,1338,207,81,176,1825,1364,3.42,81,0.16,7.5,6:00 PM,Community Building
POST076,LinkedIn,2024-03-15,Image,Promotional,"Tips to write captions that convert, not just scroll",#MarketingAnalytics #ContentMarketing #Viral,35050,21351,2517,161,337,41,735,1011,14.31,232,0.74,8.3,6:00 PM,Festive Season Campaign
POST077,Twitter/X,2024-08-14,Reel,Event Highlight,This one change tripled our engagement rate. Screenshot this.,#MarketingTips #BrandGrowth #Engagement,84256,53995,4550,120,362,522,617,1271,10.29,231,0.48,3.9,12:00 PM,Retargeting Campaign
POST078,Twitter/X,2024-08-18,Video,Educational,Breaking down the algorithm: what actually works,#MarketingTips #BrandGrowth #Engagement,76428,56980,5317,1244,489,1029,1245,253,14.18,225,0.19,9.2,5:00 PM,Brand Awareness Q1
POST079,LinkedIn,2024-08-12,Text Post,Event Highlight,Breaking down the algorithm: what actually works,#MarketingTips #BrandGrowth #Engagement,70190,49612,2650,377,192,292,3183,1674,7.08,168,0.68,3.8,6:00 PM,Product Launch Wave 1
POST080,Twitter/X,2024-12-02,Carousel,Motivational,Case study: how we grew a brand from 0 to 50K organically,#ContentCreator #InstagramMarketing #LinkedInTips,80497,65362,5511,171,598,292,7519,1432,10.05,153,0.92,7.9,12:00 PM,Lead Gen Campaign
POST081,Twitter/X,2024-03-06,Text Post,Product Showcase,This one change tripled our engagement rate. Screenshot this.,#ContentCreator #InstagramMarketing #LinkedInTips,89333,67968,12154,2812,1080,385,5302,2746,24.17,211,0.53,3.6,7:00 PM,Community Building
POST082,Twitter/X,2024-03-11,Image,User Generated Content,Our new product launch is HERE – swipe to see the magic ✨,#ContentCreator #InstagramMarketing #LinkedInTips,21808,12499,464,69,69,7,1365,344,4.87,311,0.21,5.9,5:00 PM,Organic Growth Sprint
POST083,Instagram,2024-12-12,Story,Product Showcase,Save this post if you're a content creator!,#StartupMarketing #B2BMarketing #LeadGeneration,32633,27440,2384,464,121,276,989,633,11.83,235,0.87,4.7,10:00 AM,Lead Gen Campaign
POST084,Twitter/X,2024-03-23,Video,Industry News,We tried posting 3x a day for 30 days. Here's what happened.,#MarketingTips #BrandGrowth #Engagement,27674,21872,616,69,8,85,1978,760,3.56,278,0.89,8.0,9:00 AM,Product Launch Wave 1
POST085,LinkedIn,2024-09-19,Carousel,Event Highlight,Meet the team behind the content strategy 👋,#AIMarketing #DataDriven #Analytics,20813,16636,425,33,54,60,1821,357,3.44,8,0.45,6.0,1:00 PM,Product Launch Wave 1
POST086,Facebook,2024-06-12,Image,Educational,Did you know? 80% of engagement happens within the first hour of posting,#StartupMarketing #B2BMarketing #LeadGeneration,14487,11614,1381,176,204,77,291,39,15.83,141,0.88,6.5,10:00 AM,Brand Awareness Q1
POST087,Instagram,2024-04-20,Reel,Motivational,Poll: which content format do you prefer?,#StartupMarketing #B2BMarketing #LeadGeneration,21097,15076,2543,545,218,59,1599,295,22.32,116,0.36,3.8,12:00 PM,Product Launch Wave 1
POST088,Twitter/X,2024-11-19,Video,Educational,We just hit 10K followers! Thank you for the love 🎉,#MarketingAnalytics #ContentMarketing #Viral,69051,49890,2402,303,221,3,5046,1445,5.87,118,0.59,4.7,12:00 PM,Brand Awareness Q1
POST089,Twitter/X,2024-11-21,Story,Educational,Save this post if you're a content creator!,#MarketingAnalytics #ContentMarketing #Viral,52209,44080,2127,21,184,406,563,1412,6.21,118,0.72,7.5,5:00 PM,Brand Awareness Q1
POST090,Facebook,2024-11-25,Video,Product Showcase,Here's why your content isn't performing (and how to fix it),#SocialMediaMarketing #GrowthHacking #Branding,24449,19537,2854,480,358,493,756,276,21.42,27,0.71,9.4,7:00 PM,Brand Awareness Q1
POST091,LinkedIn,2024-06-07,Reel,Product Showcase,Breaking down the algorithm: what actually works,#SocialMediaMarketing #GrowthHacking #Branding,69052,46228,7806,523,76,1545,5309,782,21.52,141,0.4,8.4,12:00 PM,Community Building
POST092,Twitter/X,2024-07-16,Story,Event Highlight,This is why your hashtags aren't working,#ContentCreator #InstagramMarketing #LinkedInTips,45938,38685,4114,1023,378,819,4263,1092,16.37,37,0.72,4.0,9:00 AM,Community Building
POST093,Instagram,2024-12-04,Reel,Product Showcase,Here's why your content isn't performing (and how to fix it),#MarketingTips #BrandGrowth #Engagement,40250,25838,3540,175,456,362,1841,86,17.54,175,0.62,6.2,1:00 PM,Community Building
POST094,LinkedIn,2024-11-07,Reel,Behind the Scenes,Did you know? 80% of engagement happens within the first hour of posting,#StartupMarketing #B2BMarketing #LeadGeneration,90378,70891,620,37,10,33,6011,2966,0.99,191,0.91,3.7,6:00 PM,Community Building
POST095,Twitter/X,2024-09-28,Reel,Behind the Scenes,Your questions answered: social media analytics edition,#MarketingTips #BrandGrowth #Engagement,49596,33200,5371,575,257,235,116,1506,19.39,90,0.52,5.9,9:00 AM,Lead Gen Campaign
POST096,Twitter/X,2024-12-21,Image,Motivational,Your questions answered: social media analytics edition,#SocialMediaMarketing #GrowthHacking #Branding,65882,40191,1161,42,117,47,3656,359,3.4,158,0.67,8.0,9:00 AM,Festive Season Campaign
POST097,LinkedIn,2024-03-03,Carousel,User Generated Content,Your questions answered: social media analytics edition,#ContentCreator #InstagramMarketing #LinkedInTips,27842,21928,1019,207,128,9,1488,1134,6.22,288,0.41,8.6,12:00 PM,Product Launch Wave 1
POST098,Facebook,2024-09-26,Story,Event Highlight,Did you know? 80% of engagement happens within the first hour of posting,#ContentCreator #InstagramMarketing #LinkedInTips,55343,43209,6794,1182,77,259,2607,303,19.24,225,0.5,6.8,5:00 PM,Retargeting Campaign
POST099,Instagram,2024-06-04,Reel,Behind the Scenes,Did you know? 80% of engagement happens within the first hour of posting,#SocialMediaMarketing #GrowthHacking #Branding,23081,13816,973,93,134,75,171,256,9.23,95,0.64,7.0,12:00 PM,Festive Season Campaign
POST100,LinkedIn,2024-10-15,Image,Product Showcase,5 marketing hacks that 10x'd our reach this month 🚀,#StartupMarketing #B2BMarketing #LeadGeneration,6899,5502,79,6,2,13,600,135,1.82,102,0.75,6.1,9:00 AM,Lead Gen Campaign
POST101,Twitter/X,2024-06-01,Image,Industry News,Breaking down the algorithm: what actually works,#MarketingAnalytics #ContentMarketing #Viral,60946,34854,540,45,58,56,3976,1902,2.01,99,0.39,4.4,1:00 PM,Festive Season Campaign
POST102,Facebook,2024-06-12,Video,Promotional,Poll: which content format do you prefer?,#AIMarketing #DataDriven #Analytics,33185,22895,1145,235,65,39,406,103,6.48,143,0.9,8.9,5:00 PM,Community Building
POST103,Facebook,2024-09-12,Image,Behind the Scenes,Meet the team behind the content strategy 👋,#DigitalMarketing #SocialMedia #ContentStrategy,68966,47589,5105,1023,25,95,3231,2070,13.13,229,0.92,4.9,8:00 AM,Lead Gen Campaign
POST104,Twitter/X,2024-05-26,Video,Event Highlight,Your questions answered: social media analytics edition,#AIMarketing #DataDriven #Analytics,71845,39691,930,115,36,70,3006,1651,2.9,182,0.14,3.8,6:00 PM,Lead Gen Campaign
POST105,Instagram,2024-10-08,Story,Event Highlight,Meet the team behind the content strategy 👋,#ContentCreator #InstagramMarketing #LinkedInTips,38163,30438,5155,1256,123,266,406,806,22.34,186,0.78,5.6,7:00 PM,Retargeting Campaign
POST106,Instagram,2024-03-11,Reel,Educational,Case study: how we grew a brand from 0 to 50K organically,#SocialMediaMarketing #GrowthHacking #Branding,45152,35723,4304,940,154,623,4233,572,16.85,162,0.89,5.5,6:00 PM,Organic Growth Sprint
POST107,Facebook,2024-07-07,Story,Educational,Save this post if you're a content creator!,#AIMarketing #DataDriven #Analytics,44916,33783,3462,602,317,647,119,1222,14.88,237,0.33,7.6,8:00 AM,Organic Growth Sprint
POST108,LinkedIn,2024-03-16,Video,Industry News,Poll: which content format do you prefer?,#StartupMarketing #B2BMarketing #LeadGeneration,90724,56490,9430,455,392,41,3622,1284,18.27,209,0.23,7.9,8:00 AM,Festive Season Campaign
POST109,LinkedIn,2024-12-05,Video,Product Showcase,Real talk: what consistent posting did for our brand in 6 months,#SocialMediaMarketing #GrowthHacking #Branding,64201,45431,2620,182,237,353,4485,1451,7.47,130,0.62,4.7,9:00 AM,Summer Engagement Drive
POST110,Facebook,2024-12-19,Carousel,User Generated Content,Case study: how we grew a brand from 0 to 50K organically,#MarketingAnalytics #ContentMarketing #Viral,93904,65423,7911,719,1149,1480,2250,1178,17.21,57,0.59,6.9,5:00 PM,Lead Gen Campaign
POST111,Instagram,2024-06-26,Carousel,Promotional,This is why your hashtags aren't working,#AIMarketing #DataDriven #Analytics,59483,44421,6172,986,221,416,4422,1110,17.55,282,0.69,4.4,7:00 PM,Brand Awareness Q1
POST112,LinkedIn,2024-01-27,Text Post,User Generated Content,The future of AI in digital marketing – thread 🧵,#StartupMarketing #B2BMarketing #LeadGeneration,14633,9862,1519,246,27,73,20,563,18.91,75,0.45,9.4,7:00 PM,Lead Gen Campaign
POST113,Facebook,2024-02-15,Carousel,Educational,Case study: how we grew a brand from 0 to 50K organically,#StartupMarketing #B2BMarketing #LeadGeneration,86998,62833,8817,157,360,858,7237,3430,16.22,85,0.89,3.7,5:00 PM,Lead Gen Campaign
POST114,Instagram,2024-10-17,Reel,Motivational,Behind the scenes of our latest campaign shoot,#MarketingAnalytics #ContentMarketing #Viral,80507,46870,5539,587,467,1076,4056,549,16.36,253,0.5,4.7,5:00 PM,Organic Growth Sprint
POST115,Facebook,2024-01-08,Text Post,Behind the Scenes,Behind the scenes of our latest campaign shoot,#ContentCreator #InstagramMarketing #LinkedInTips,45685,35964,4701,400,181,628,3331,1751,16.43,258,0.38,6.0,5:00 PM,Organic Growth Sprint
POST116,Facebook,2024-05-13,Image,Educational,Real talk: what consistent posting did for our brand in 6 months,#DigitalMarketing #SocialMedia #ContentStrategy,51775,32134,2237,342,156,301,2970,1173,9.45,0,0.32,5.8,12:00 PM,Organic Growth Sprint
POST117,Facebook,2024-12-17,Image,Industry News,Did you know? 80% of engagement happens within the first hour of posting,#StartupMarketing #B2BMarketing #LeadGeneration,67366,55707,5145,245,656,607,3020,2517,11.94,108,0.29,4.3,6:00 PM,Retargeting Campaign
POST118,Twitter/X,2024-05-06,Video,User Generated Content,We tried posting 3x a day for 30 days. Here's what happened.,#AIMarketing #DataDriven #Analytics,90673,70400,1391,274,116,273,5937,639,2.92,283,0.2,8.7,5:00 PM,Festive Season Campaign
POST119,Facebook,2024-02-29,Video,Event Highlight,"Tips to write captions that convert, not just scroll",#DigitalMarketing #SocialMedia #ContentStrategy,90667,55453,9604,2007,188,1843,4190,1824,24.6,23,0.49,6.7,10:00 AM,Lead Gen Campaign
POST120,Instagram,2024-01-02,Story,Motivational,The future of AI in digital marketing – thread 🧵,#DigitalMarketing #SocialMedia #ContentStrategy,30060,21748,235,32,24,47,271,1108,1.55,25,0.89,3.9,9:00 AM,Retargeting Campaign
